epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,725.842,0.18976,0.22862,0.36922,0.86755,0,0.80446,0.97657,0.97377,0.95551,0.80446,0.97657,0.97377,0.97091,0.1224,0.11513,0.23278,0.83229,0,0.00141397,0.000471322,0.00141397,0.000471322,0.00141397,0.000471322,0.00141397,0.000471322
23,759.188,0.18864,0.25985,0.36763,0.86321,0,0.8693,0.9723,0.97402,0.95926,0.8693,0.9723,0.97402,0.97111,0.12461,0.14317,0.2188,0.83327,0,0.00140616,0.000468719,0.00140616,0.000468719,0.00140616,0.000468719,0.00140616,0.000468719
24,791.838,0.18446,0.23123,0.33719,0.86275,0,0.97277,0.94394,0.97425,0.96356,0.97277,0.94394,0.97425,0.97178,0.11574,0.09911,0.15718,0.83328,0,0.00139834,0.000466115,0.00139834,0.000466115,0.00139834,0.000466115,0.00139834,0.000466115
25,824.963,0.18412,0.29207,0.33569,0.86119,0,0.97127,0.95716,0.97407,0.96286,0.97127,0.95716,0.97407,0.96782,0.1109,0.36816,0.16207,0.83629,0,0.00139053,0.000463511,0.00139053,0.000463511,0.00139053,0.000463511,0.00139053,0.000463511
26,858.037,0.17839,0.21408,0.32488,0.86194,0,0.93587,0.9418,0.9746,0.96132,0.93587,0.9418,0.9746,0.9717,0.12277,0.11635,0.15987,0.83312,0,0.00138272,0.000460907,0.00138272,0.000460907,0.00138272,0.000460907,0.00138272,0.000460907
27,891.088,0.17451,0.24945,0.32443,0.85478,0,0.95721,0.92782,0.97549,0.96537,0.95721,0.92782,0.97549,0.97263,0.11051,0.1633,0.14432,0.83109,0,0.00137491,0.000458304,0.00137491,0.000458304,0.00137491,0.000458304,0.00137491,0.000458304
28,925.353,0.17782,0.24249,0.32216,0.865,0,0.95363,0.95221,0.9758,0.96608,0.95363,0.95221,0.9758,0.9717,0.11974,0.24108,0.16053,0.83969,0,0.0013671,0.0004557,0.0013671,0.0004557,0.0013671,0.0004557,0.0013671,0.0004557
29,957.959,0.17479,0.20285,0.30402,0.86073,0,0.96352,0.92981,0.97524,0.96476,0.96352,0.92981,0.97524,0.97234,0.10951,0.11768,0.1454,0.82759,0,0.00135929,0.000453096,0.00135929,0.000453096,0.00135929,0.000453096,0.00135929,0.000453096
30,990.684,0.17836,0.23691,0.29896,0.86619,0,0.94783,0.92708,0.9745,0.96626,0.94783,0.92708,0.9745,0.97159,0.1108,0.10175,0.15982,0.83595,0,0.00135148,0.000450493,0.00135148,0.000450493,0.00135148,0.000450493,0.00135148,0.000450493
31,1023.51,0.17004,0.20987,0.29997,0.85749,0,0.94289,0.95298,0.9745,0.96016,0.94289,0.95298,0.9745,0.97079,0.12628,0.09778,0.15331,0.84442,0,0.00134367,0.000447889,0.00134367,0.000447889,0.00134367,0.000447889,0.00134367,0.000447889
32,1056.24,0.18065,0.21048,0.29876,0.86294,0,0.96481,0.9235,0.97524,0.9684,0.96481,0.9235,0.97524,0.97144,0.10883,0.09651,0.1428,0.82503,0,0.00133586,0.000445285,0.00133586,0.000445285,0.00133586,0.000445285,0.00133586,0.000445285
33,1089.51,0.17458,0.222,0.28524,0.86509,0,0.95668,0.92128,0.97549,0.96753,0.95668,0.92128,0.97549,0.97353,0.10689,0.10059,0.15927,0.82614,0,0.00132804,0.000442682,0.00132804,0.000442682,0.00132804,0.000442682,0.00132804,0.000442682
34,1123.46,0.18665,0.23161,0.29682,0.86226,0,0.95844,0.94848,0.97549,0.97085,0.95844,0.94848,0.97549,0.97353,0.11075,0.14478,0.12344,0.82896,0,0.00132023,0.000440078,0.00132023,0.000440078,0.00132023,0.000440078,0.00132023,0.000440078
35,1156.29,0.17504,0.23824,0.2761,0.85635,0,0.95986,0.9401,0.97749,0.96414,0.95986,0.9401,0.97749,0.97438,0.11721,0.15765,0.13772,0.83277,0,0.00131242,0.000437474,0.00131242,0.000437474,0.00131242,0.000437474,0.00131242,0.000437474
36,1191.87,0.17253,0.23499,0.2792,0.86061,0,0.9541,0.94103,0.96509,0.95121,0.9541,0.94103,0.96509,0.96304,0.1186,0.11478,0.17587,0.82905,0,0.00130461,0.00043487,0.00130461,0.00043487,0.00130461,0.00043487,0.00130461,0.00043487
37,1224.52,0.17172,0.20386,0.26492,0.86038,0,0.93452,0.93905,0.96469,0.95569,0.93452,0.93905,0.96469,0.96296,0.11482,0.10844,0.18545,0.82997,0,0.0012968,0.000432267,0.0012968,0.000432267,0.0012968,0.000432267,0.0012968,0.000432267
38,1256.91,0.16533,0.18962,0.26672,0.85422,0,0.95907,0.93857,0.96638,0.95941,0.95907,0.93857,0.96638,0.96355,0.10097,0.09887,0.17257,0.82367,0,0.00128899,0.000429663,0.00128899,0.000429663,0.00128899,0.000429663,0.00128899,0.000429663
39,1292.43,0.17879,0.21278,0.26637,0.86257,0,0.94808,0.93815,0.97504,0.96587,0.94808,0.93815,0.97504,0.97321,0.10796,0.16684,0.15696,0.82988,0,0.00128118,0.000427059,0.00128118,0.000427059,0.00128118,0.000427059,0.00128118,0.000427059
40,1325.48,0.16839,0.19848,0.27043,0.85448,0,0.95093,0.92519,0.95758,0.95103,0.93899,0.91435,0.94672,0.94453,0.10268,0.38969,0.17232,0.82871,0,0.00127337,0.000424456,0.00127337,0.000424456,0.00127337,0.000424456,0.00127337,0.000424456
41,1357.95,0.17389,0.19044,0.26176,0.85244,0,0.95525,0.9221,0.96638,0.95697,0.95525,0.9221,0.96638,0.96432,0.10745,0.1072,0.15192,0.82478,0,0.00126556,0.000421852,0.00126556,0.000421852,0.00126556,0.000421852,0.00126556,0.000421852
42,1393.33,0.17098,0.21166,0.27086,0.8639,0,0.95701,0.92671,0.9675,0.9581,0.95701,0.92671,0.9675,0.96155,0.10231,0.20743,0.15931,0.82203,0,0.00125774,0.000419248,0.00125774,0.000419248,0.00125774,0.000419248,0.00125774,0.000419248
43,1425.9,0.16757,0.22484,0.25747,0.85928,0,0.94853,0.92411,0.95137,0.94155,0.93717,0.91307,0.93902,0.93584,0.10675,0.21082,0.19469,0.82721,0,0.00124993,0.000416645,0.00124993,0.000416645,0.00124993,0.000416645,0.00124993,0.000416645
44,1462.07,0.17488,0.22131,0.25189,0.86623,0,0.95751,0.92816,0.96381,0.95019,0.95751,0.92816,0.96381,0.95812,0.11595,0.14172,0.17129,0.83582,0,0.00124212,0.000414041,0.00124212,0.000414041,0.00124212,0.000414041,0.00124212,0.000414041
45,1494.75,0.17445,0.2019,0.24991,0.85695,0,0.96566,0.94517,0.98048,0.9697,0.96566,0.94517,0.98048,0.97903,0.1081,0.08969,0.13964,0.83015,0,0.00123431,0.000411437,0.00123431,0.000411437,0.00123431,0.000411437,0.00123431,0.000411437
46,1527.31,0.17185,0.23792,0.24507,0.86124,0,0.94621,0.95021,0.98048,0.96968,0.94621,0.95021,0.98048,0.97912,0.11374,0.23251,0.14005,0.8275,0,0.0012265,0.000408834,0.0012265,0.000408834,0.0012265,0.000408834,0.0012265,0.000408834
47,1560.48,0.16948,0.19279,0.22868,0.86713,0,0.94296,0.95003,0.97861,0.96764,0.94296,0.95003,0.97861,0.97716,0.11416,0.13483,0.15567,0.82934,0,0.00121869,0.00040623,0.00121869,0.00040623,0.00121869,0.00040623,0.00121869,0.00040623
48,1593.92,0.16891,0.18235,0.23495,0.85692,0,0.94893,0.93981,0.97749,0.97016,0.94893,0.93981,0.97749,0.97613,0.10875,0.09575,0.17385,0.82926,0,0.00121088,0.000403626,0.00121088,0.000403626,0.00121088,0.000403626,0.00121088,0.000403626
49,1626.56,0.168,0.18192,0.2369,0.85651,0,0.93748,0.93545,0.94982,0.94589,0.93748,0.93545,0.94982,0.94859,0.11303,0.09059,0.19105,0.83539,0,0.00120307,0.000401022,0.00120307,0.000401022,0.00120307,0.000401022,0.00120307,0.000401022
50,1661.33,0.16862,0.19858,0.23879,0.86009,0,0.94361,0.9368,0.97861,0.96438,0.94361,0.9368,0.97861,0.97716,0.11741,0.09069,0.17207,0.83507,0,0.00119526,0.000398419,0.00119526,0.000398419,0.00119526,0.000398419,0.00119526,0.000398419
51,1693.69,0.17697,0.25058,0.24146,0.86765,0,0.95158,0.92199,0.9514,0.94685,0.95158,0.92199,0.9514,0.94979,0.11236,0.11333,0.21943,0.82659,0,0.00118744,0.000395815,0.00118744,0.000395815,0.00118744,0.000395815,0.00118744,0.000395815
52,1726.62,0.16828,0.21017,0.24901,0.8631,0,0.94897,0.93638,0.95281,0.94865,0.94897,0.93638,0.95281,0.95195,0.10502,0.13287,0.18453,0.82188,0,0.00117963,0.000393211,0.00117963,0.000393211,0.00117963,0.000393211,0.00117963,0.000393211
53,1759.59,0.1661,0.21407,0.22454,0.85714,0,0.95278,0.94444,0.94953,0.9445,0.95278,0.94444,0.94953,0.94779,0.10208,0.10523,0.16929,0.81732,0,0.00117182,0.000390608,0.00117182,0.000390608,0.00117182,0.000390608,0.00117182,0.000390608
54,1795.2,0.16414,0.19185,0.23134,0.85658,0,0.92052,0.94444,0.95749,0.95383,0.92052,0.94444,0.95749,0.95538,0.09838,0.10434,0.1586,0.81877,0,0.00116401,0.000388004,0.00116401,0.000388004,0.00116401,0.000388004,0.00116401,0.000388004
55,1828.38,0.15809,0.19619,0.21688,0.85462,0,0.94727,0.94996,0.97473,0.9684,0.94727,0.94996,0.97473,0.97327,0.0993,0.13078,0.13384,0.819,0,0.0011562,0.0003854,0.0011562,0.0003854,0.0011562,0.0003854,0.0011562,0.0003854
56,1862.57,0.16495,0.20028,0.22882,0.85844,0,0.94825,0.93681,0.97749,0.97189,0.94825,0.93681,0.97749,0.96789,0.09735,0.26836,0.16322,0.82223,0,0.00114839,0.000382796,0.00114839,0.000382796,0.00114839,0.000382796,0.00114839,0.000382796
57,1895.31,0.16885,0.19098,0.21838,0.85968,0,0.93901,0.93656,0.97621,0.96851,0.93901,0.93656,0.97621,0.97553,0.10111,0.09362,0.18021,0.82059,0,0.00114058,0.000380193,0.00114058,0.000380193,0.00114058,0.000380193,0.00114058,0.000380193
58,1928.44,0.15969,0.19088,0.21946,0.85939,0,0.95043,0.93587,0.96115,0.95879,0.95043,0.93587,0.96115,0.96043,0.09752,0.08905,0.20376,0.81273,0,0.00113277,0.000377589,0.00113277,0.000377589,0.00113277,0.000377589,0.00113277,0.000377589
59,1962.25,0.16335,0.19747,0.23105,0.86032,0,0.93873,0.91389,0.93703,0.93007,0.93873,0.91389,0.93703,0.93557,0.09845,0.08722,0.21401,0.81504,0,0.00112496,0.000374985,0.00112496,0.000374985,0.00112496,0.000374985,0.00112496,0.000374985
60,1995.26,0.16008,0.22423,0.21386,0.85145,0,0.92312,0.94431,0.97549,0.96626,0.92312,0.94431,0.97549,0.97125,0.10661,0.16773,0.24187,0.82123,0,0.00111715,0.000372382,0.00111715,0.000372382,0.00111715,0.000372382,0.00111715,0.000372382
61,2030.27,0.16094,0.19087,0.22171,0.86275,0,0.93884,0.93431,0.96638,0.95687,0.93884,0.93431,0.96638,0.96366,0.10665,0.20454,0.2588,0.82044,0,0.00110933,0.000369778,0.00110933,0.000369778,0.00110933,0.000369778,0.00110933,0.000369778
62,2062.9,0.16232,0.19818,0.22231,0.85962,0,0.94917,0.91929,0.95066,0.94232,0.94917,0.91929,0.95066,0.94829,0.10507,0.13685,0.20248,0.82061,0,0.00110152,0.000367174,0.00110152,0.000367174,0.00110152,0.000367174,0.00110152,0.000367174
63,2095.45,0.16467,0.22371,0.21661,0.85796,0,0.94764,0.9276,0.94712,0.94359,0.94764,0.9276,0.94712,0.94559,0.10492,0.11126,0.19989,0.81871,0,0.00109371,0.000364571,0.00109371,0.000364571,0.00109371,0.000364571,0.00109371,0.000364571
